image_id,level,taxon,species_count,notes
family-abelisauridae,family,Abelisauridae,34,
family-alethoalaornithidae,family,Alethoalaornithidae,1,
family-alexornithidae,family,Alexornithidae,10,
family-allosauridae,family,Allosauridae,8,
family-alvarezsauridae,family,Alvarezsauridae,17,
family-anchiornithidae,family,Anchiornithidae,1,
family-anchisauridae,family,Anchisauridae,3,
family-ankylosauridae,family,Ankylosauridae,35,
family-archaeopterygidae,family,Archaeopterygidae,3,
family-avimimidae,family,Avimimidae,2,
family-avisauridae,family,Avisauridae,9,
family-balochisauridae,family,Balochisauridae,3,
family-baptornithidae,family,Baptornithidae,2,
family-bohaiornithidae,family,Bohaiornithidae,6,
family-brachiosauridae,family,Brachiosauridae,11,
family-brodavidae,family,Brodavidae,4,
family-caenagnathidae,family,Caenagnathidae,17,
family-camarasauridae,family,Camarasauridae,8,
family-carcharodontosauridae,family,Carcharodontosauridae,16,
family-cathayornithidae,family,Cathayornithidae,2,
family-caudipterygidae,family,Caudipterygidae,4,
family-ceratopsidae,family,Ceratopsidae,53,
family-ceratosauridae,family,Ceratosauridae,2,
family-cetiosauridae,family,Cetiosauridae,6,
family-chaoyangsauridae,family,Chaoyangsauridae,5,
family-coelophysidae,family,Coelophysidae,10,
family-colymbidae,family,Colymbidae,3,
family-compsognathidae,family,Compsognathidae,10,
family-cracidae,family,Cracidae,28,
family-deinocheiridae,family,Deinocheiridae,5,
family-dicraeosauridae,family,Dicraeosauridae,12,
family-dilophosauridae,family,Dilophosauridae,1,
family-diplodocidae,family,Diplodocidae,16,
family-dromaeosauridae,family,Dromaeosauridae,61,
family-dryosauridae,family,Dryosauridae,6,
family-enantiornithidae,family,Enantiornithidae,1,
family-eoenantiornithidae,family,Eoenantiornithidae,1,
family-euhelopodidae,family,Euhelopodidae,14,
family-fabrosauridae,family,Fabrosauridae,3,
family-gallinuloididae,family,Gallinuloididae,4,
family-gargantuaviidae,family,Gargantuaviidae,1,
family-gspsauridae,family,Gspsauridae,3,
family-guaibasauridae,family,Guaibasauridae,2,
family-hadrosauridae,family,Hadrosauridae,80,
family-herrerasauridae,family,Herrerasauridae,5,
family-hesperornithidae,family,Hesperornithidae,14,
family-heterodontosauridae,family,Heterodontosauridae,8,
family-hongshanornithidae,family,Hongshanornithidae,7,
family-huayangosauridae,family,Huayangosauridae,1,
family-hypsilophodontidae,family,Hypsilophodontidae,3,
family-iguanodontidae,family,Iguanodontidae,3,
family-jeholosauridae,family,Jeholosauridae,2,
family-laevisoolithidae,family,Laevisoolithidae,1,
family-leptoceratopsidae,family,Leptoceratopsidae,13,
family-lessemsauridae,family,Lessemsauridae,3,
family-longipterygidae,family,Longipterygidae,7,
family-mamenchisauridae,family,Mamenchisauridae,33,
family-massospondylidae,family,Massospondylidae,14,
family-megalosauridae,family,Megalosauridae,15,
family-megapodiidae,family,Megapodiidae,31,
family-megaraptoridae,family,Megaraptoridae,8,
family-melanorosauridae,family,Melanorosauridae,1,
family-meleagridae,family,Meleagridae,3,
family-metriacanthosauridae,family,Metriacanthosauridae,10,
family-nemegtosauridae,family,Nemegtosauridae,2,
family-neovenatoridae,family,Neovenatoridae,5,
family-noasauridae,family,Noasauridae,13,
family-nodosauridae,family,Nodosauridae,36,
family-nqwebasauridae,family,Nqwebasauridae,1,
family-numididae,family,Numididae,3,
family-odontophoridae,family,Odontophoridae,21,
family-ornithomimidae,family,Ornithomimidae,15,
family-ornithomimipodidae,family,Ornithomimipodidae,1,
family-oviraptoridae,family,Oviraptoridae,22,
family-pachycephalosauridae,family,Pachycephalosauridae,17,
family-pakisauridae,family,Pakisauridae,5,
family-paraortygidae,family,Paraortygidae,1,
family-parksosauridae,family,Parksosauridae,1,
family-pengornithidae,family,Pengornithidae,5,
family-phasianidae,family,Phasianidae,113,
family-piatnitzkysauridae,family,Piatnitzkysauridae,4,
family-plateosauridae,family,Plateosauridae,13,
family-proceratosauridae,family,Proceratosauridae,5,
family-protoceratopsidae,family,Protoceratopsidae,4,
family-psittacosauridae,family,Psittacosauridae,9,
family-quercymegapodiidae,family,Quercymegapodiidae,3,
family-rebbachisauridae,family,Rebbachisauridae,22,
family-rhabdodontidae,family,Rhabdodontidae,2,
family-riojasauridae,family,Riojasauridae,3,
family-saltasauridae,family,Saltasauridae,15,
family-saturnaliidae,family,Saturnaliidae,4,
family-scansoriopterygidae,family,Scansoriopterygidae,3,
family-scelidosauridae,family,Scelidosauridae,1,
family-schizoouridae,family,Schizoouridae,1,
family-spinosauridae,family,Spinosauridae,14,
family-stegosauridae,family,Stegosauridae,23,
family-tenontosauridae,family,Tenontosauridae,4,
family-tetraonidae,family,Tetraonidae,1,
family-therizinosauridae,family,Therizinosauridae,15,
family-thescelosauridae,family,Thescelosauridae,10,
family-troodontidae,family,Troodontidae,37,
family-tyrannosauridae,family,Tyrannosauridae,22,
family-unaysauridae,family,Unaysauridae,2,
family-vitakrisauridae,family,Vitakrisauridae,2,
family-vulcanodontidae,family,Vulcanodontidae,1,
family-waltonortygidae,family,Waltonortygidae,1,
family-yanornithidae,family,Yanornithidae,5,
fallback-ornithischia,major_clade,Ornithischia,177,Used for species that do not have a family in the dataset
fallback-reptilia,major_clade,Reptilia,2,Used for species that do not have a family in the dataset
fallback-saurischia,major_clade,Saurischia,484,Used for species that do not have a family in the dataset
